Date,year,month,day,team,opponent,teamscore,oppscore,D1,Win,G,Overall_W,Overall_L,W-L%,SRS,SOS,Home_W,Home_L,Away_W,Away_L,Tm.Total Pts,Tm.Pts_Allowed,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,G_2,Overall_W_2,Overall_L_2,W-L%_2,SRS_2,SOS_2,Home_W_2,Home_L_2,Away_W_2,Away_L_2,Tm.Total Pts_2,Tm.Pts_Allowed_2,Pace_2,ORtg_2,FTr_2,3PAr_2,TS%_2,TRB%_2,AST%_2,STL%_2,BLK%_2,eFG%_2,TOV%_2,ORB%_2,FT/FGA_2
3/3/20,2020,3,1,Kansas,Siena,,,1,0.51,31,28,3,0.903,25,11.66,14,1,11,1,2312,1882,67.9,109.4,0.35,0.329,0.564,54.7,50.8,11.2,13.6,0.541,16.2,32.8,0.234,29,19,10,0.655,-1.39,-5.6,14,0,5,10,2104,1982,67.4,106.3,0.369,0.332,0.552,53.5,51.5,7.8,8.1,0.518,16.5,31.8,0.261
3/4/20,2020,3,2,Michigan State,UC Irvine,,,1,0.51,30,21,9,0.7,21.62,10.46,11,3,7,4,2273,1938,69.5,109.1,0.309,0.373,0.559,55.1,65,7.3,13.3,0.525,15.7,32.8,0.231,32,21,11,0.656,3.73,-2.17,11,2,8,8,2367,2087,69.1,107.1,0.283,0.298,0.555,56.7,53.5,9.3,9.9,0.526,17.2,35.3,0.209
3/5/20,2020,3,3,Creighton,Belmont,,,1,0.51,31,24,7,0.774,17.28,9.65,17,1,6,5,2428,2162,70,111.5,0.29,0.426,0.58,48.5,56.5,9.3,6.6,0.553,13.9,23.6,0.214,33,26,7,0.788,4.36,-6.17,13,1,11,5,2627,2241,72.8,109.4,0.227,0.438,0.572,50.5,61.3,10.4,8,0.553,14.6,24.9,0.162
3/6/20,2020,3,4,Wisconsin,Vermont,,,1,0.51,31,21,10,0.677,15.98,10.98,15,1,6,6,2082,1927,64.4,103.8,0.269,0.445,0.537,49.6,51.1,6.9,9.7,0.503,13.8,24.1,0.205,32,25,7,0.781,6.31,-4.72,12,3,12,3,2280,1889,66.5,107.2,0.305,0.433,0.547,53.2,54.7,8.9,10.8,0.518,14.8,28.3,0.218
3/7/20,2020,3,5,Auburn,East Tennessee State,,,1,0.51,31,25,6,0.806,15.02,7.38,16,1,5,5,2419,2182,70.4,108.2,0.438,0.441,0.536,53.7,49.1,8.9,12.9,0.5,15,35.3,0.295,32,28,4,0.875,6.97,-1.89,16,1,11,3,2424,2013,68.2,111,0.363,0.389,0.565,53.3,51.5,12.3,11,0.537,15.3,32.8,0.25
3/8/20,2020,3,6,West Virginia,Wichita State,,,1,0.51,31,21,10,0.677,18.49,10.62,14,2,4,8,2179,1935,69.4,100.9,0.405,0.296,0.499,55.6,49.5,11,10.6,0.465,17,40,0.26,30,22,8,0.733,13.14,5.54,16,2,5,5,2148,1920,70.6,100.6,0.34,0.39,0.504,53.1,57.3,9.9,10.4,0.468,15.2,32.1,0.235
3/9/20,2020,3,7,Virginia,Texas Tech,,,1,0.51,30,23,7,0.767,12.21,7.54,14,3,7,4,1711,1571,60.2,93.5,0.266,0.37,0.501,52.8,54.8,8.8,16.5,0.469,17.7,26.4,0.191,31,18,13,0.581,16.82,8.4,13,4,3,7,2230,1969,68.2,103.8,0.345,0.366,0.556,50,61.1,11.1,11.5,0.517,17.4,27.8,0.26
3/10/20,2020,3,8,Florida,Southern California,,,1,0.51,31,19,12,0.613,14.98,9.14,11,4,4,7,2228,2047,66.3,107.5,0.34,0.368,0.555,52.4,46.5,8.6,11.1,0.521,15.5,31.1,0.246,31,22,9,0.71,11.53,7.24,14,2,5,6,2179,2046,70,99.3,0.354,0.321,0.524,52.3,55.1,9.4,13.3,0.495,17.7,30.6,0.234
3/11/20,2020,3,9,Dayton,Winthrop,,,1,0.51,31,29,2,0.935,19.26,3.78,17,0,9,0,2480,2000,67.9,116.4,0.339,0.39,0.619,52.5,60.3,8.3,9.2,0.597,15.8,26.4,0.244,33,23,10,0.697,1.33,-6.34,11,4,10,6,2689,2363,72.6,111,0.352,0.44,0.559,55.2,55.7,9.2,7,0.54,16.1,35.4,0.224
3/12/20,2020,3,10,Villanova,North Dakota State,,,1,0.51,31,24,7,0.774,16.86,10.05,12,3,9,3,2269,2058,67.6,107.8,0.269,0.473,0.557,51.2,56.3,8.3,6.5,0.526,14.1,25.6,0.204,31,23,8,0.742,1.08,-4.03,13,1,8,6,2303,2061,67.9,109,0.325,0.456,0.566,52.6,46.8,7.1,6,0.525,13.5,23.1,0.258
3/13/20,2020,3,11,Duke,Arkansas Little Rock,,,1,0.51,31,25,6,0.806,22.62,8.07,15,2,7,4,2558,2107,72.9,111.4,0.356,0.315,0.559,53.8,52.1,11.2,13.6,0.526,15.2,34.8,0.256,31,21,10,0.677,2.27,-1.07,13,2,8,8,2270,2152,70.2,104.4,0.45,0.328,0.566,52.2,59.5,9.8,10.4,0.527,19.3,30.7,0.319
3/14/20,2020,3,12,Maryland,Akron,,,1,0.51,30,23,7,0.767,17.38,10.25,15,1,5,6,2143,1929,67.9,105.3,0.374,0.432,0.528,52.8,55.3,6.7,11.8,0.482,14.4,31.6,0.279,32,25,7,0.781,6.31,-4.72,12,3,12,3,2280,1889,66.5,107.2,0.305,0.433,0.547,53.2,54.7,8.9,10.8,0.518,14.8,28.3,0.218
3/15/20,2020,3,13,Butler,New Mexico State,,,1,0.51,31,22,9,0.71,15.59,9.17,14,3,5,6,2125,1926,64.6,105.7,0.294,0.368,0.553,53.3,50.9,8.2,7.8,0.523,15.4,29.4,0.214,31,25,6,0.806,4.11,-4.24,13,1,9,3,2214,1852,64.6,110,0.314,0.469,0.567,56.4,57.8,9.5,5.7,0.539,17.2,34.8,0.225
3/16/20,2020,3,14,Iowa,Cincinnati,,,1,0.51,30,20,10,0.667,16.13,10.43,14,2,4,6,2334,2163,70.8,109.8,0.346,0.377,0.552,51.5,63.7,9,10.7,0.514,14.7,32.1,0.257,30,20,10,0.667,12.38,6.78,13,2,5,6,2182,2014,68.9,102.2,0.396,0.361,0.536,52.5,57.3,9.2,12.5,0.503,17.5,32,0.268
3/17/20,2020,3,15,Michigan,Utah State,,,1,0.51,30,19,11,0.633,18.43,11,11,5,4,6,2256,2033,69.5,106.9,0.264,0.391,0.553,50.7,53,7.8,10.4,0.528,13.7,25.2,0.188,34,26,8,0.765,13.69,4.07,15,1,4,6,2600,2179,68.9,109.8,0.361,0.379,0.564,56.6,62,8.8,9.5,0.523,15.6,31.8,0.276
3/18/20,2020,3,16,Saint Mary's (CA),Oklahoma,,,1,0.51,31,24,7,0.774,12.42,4.36,14,3,6,3,2353,2060,65.2,113.7,0.304,0.362,0.586,51.8,44.6,9.9,5.4,0.556,13.2,25.6,0.229,31,19,12,0.613,13.46,10.62,12,3,4,8,2177,2089,69.7,100.8,0.313,0.389,0.524,49.2,48,8.8,11.6,0.482,14.2,23.4,0.239
3/19/20,2020,3,17,Baylor,Boston University,,,1,0.51,30,26,4,0.867,20.1,9.1,14,1,8,2,2134,1804,66.6,106.4,0.308,0.369,0.523,52.5,54.1,12.2,12.5,0.494,14.9,35.7,0.213,32,19,13,0.594,-1.93,-5.38,11,3,8,8,2282,2147,67,105.2,0.273,0.345,0.535,51.8,46,8.2,6,0.515,14.5,28.9,0.179
3/20/20,2020,3,18,Florida State,Northern Kentucky,,,1,0.51,31,26,5,0.839,17.31,7.66,16,0,7,5,2336,2037,69.7,107.3,0.301,0.354,0.553,51.9,48.5,12.5,15.9,0.519,16.3,33.4,0.226,30,21,9,0.7,-0.13,-4.7,11,4,10,5,2166,1958,68.5,104.5,0.328,0.456,0.531,49.9,54.3,11.7,5.6,0.501,15.6,31,0.225
3/21/20,2020,3,19,Seton Hall,Hofstra,,,1,0.51,30,21,9,0.7,16.75,9.95,11,4,8,4,2241,2037,71,105.3,0.348,0.405,0.548,50.3,55.8,9.9,14.9,0.514,16.3,29.2,0.249,31,23,8,0.742,2.28,-3.96,10,4,11,4,2390,2161,69.5,110.9,0.34,0.377,0.564,50.2,47.1,10.1,5.4,0.522,14.1,29.7,0.265
3/22/20,2020,3,20,Louisville,Yale,,,1,0.51,31,24,7,0.774,17.95,7.57,17,1,6,5,2296,1974,67.1,109.4,0.322,0.38,0.557,54.5,53.5,7.5,7.9,0.525,15.4,32,0.236,30,23,7,0.767,6.6,-1.54,10,1,11,6,2289,1954,68.2,108.3,0.33,0.414,0.573,54.8,57.4,8.9,9.6,0.545,16.3,27.4,0.235
3/23/20,2020,3,21,Ohio State,Stephen F. Austin,,,1,0.51,30,21,9,0.7,19.68,9.88,15,2,4,6,2165,1871,66.8,108,0.368,0.418,0.563,54.1,55.7,7.5,10.4,0.524,16.7,31.1,0.276,31,28,3,0.903,4.03,-6.9,16,1,12,2,2499,2077,74.8,107.4,0.437,0.274,0.573,55.5,52.3,13.9,10.3,0.541,20.1,38.2,0.302
3/24/20,2020,3,22,Pennsylvania St.,Texas,,,1,0.51,31,21,10,0.677,16.11,9.24,14,3,5,6,2327,2114,71.4,105.1,0.31,0.396,0.525,50.8,53.2,10.5,12.1,0.495,13.6,29.3,0.214,31,19,12,0.613,10.49,9.62,11,6,6,5,1989,1962,66.2,96.9,0.22,0.429,0.52,47.3,48.5,8.3,11.1,0.499,18,26.6,0.151
3/25/20,2020,3,23,Providence,Rutgers,,,1,0.51,31,19,12,0.613,13.49,8.23,13,3,5,6,2214,2051,69.6,102.3,0.359,0.366,0.511,51.6,58.2,11.9,9.6,0.473,16.1,33.7,0.249,31,20,11,0.645,15.79,9.75,18,1,2,8,2168,1942,67.7,102.5,0.291,0.3,0.516,54,47.8,9.6,13.6,0.493,15.3,32.4,0.187
3/26/20,2020,3,24,Arizona,Louisiana State,,,1,0.51,31,20,11,0.645,19.5,8.27,13,4,4,6,2368,2020,70.1,108.1,0.363,0.345,0.547,52.8,57.3,9.5,10.6,0.508,14.4,30.9,0.265,31,21,10,0.677,14.41,7.18,15,2,5,6,2495,2271,70.8,112.8,0.354,0.343,0.568,54.3,44.9,8.8,10.6,0.527,15.1,35.1,0.272
3/27/20,2020,3,25,Gonzaga,Robert Morris,,,1,0.51,31,29,2,0.935,22.81,2.68,17,0,10,1,2720,2096,72.9,119.8,0.385,0.318,0.6,56.5,53.8,10.3,9.5,0.577,13.5,33.5,0.265,33,19,14,0.576,-5.15,-6.49,11,3,7,11,2296,2213,67.6,103,0.261,0.397,0.536,49.5,64.7,9.5,5.8,0.515,16.5,29.2,0.175
3/28/20,2020,3,26,San Diego State,Bradley,,,1,0.51,32,30,2,0.938,18.39,3.94,14,1,11,0,2395,1903,66.1,113.3,0.285,0.42,0.579,52.5,55.5,10.5,8.9,0.548,14.3,28.9,0.22,33,22,11,0.667,5.01,0.29,15,2,4,8,2358,2174,67.3,105.3,0.321,0.314,0.534,53.4,52.4,7.1,12.7,0.498,15,31.6,0.235
3/29/20,2020,3,27,Kentucky,Eastern Washington,,,1,0.51,31,25,6,0.806,15.75,7.43,16,2,8,2,2307,2049,68.5,107.9,0.408,0.266,0.561,53,52.2,7.6,13.6,0.507,15.8,30.8,0.325,31,23,8,0.742,2.08,-1.75,13,2,10,6,2509,2259,74.3,108,0.287,0.416,0.556,50.9,59.6,9.5,8.7,0.532,15,28.3,0.199
3/30/20,2020,3,28,Oregon,North Texas,,,1,0.51,31,24,7,0.774,18.27,9.14,17,0,5,5,2352,2069,66.1,111.7,0.289,0.373,0.567,51.5,52,11.4,9.6,0.543,15.1,32.7,0.202,31,20,11,0.645,7.34,1.69,13,3,7,6,2203,1962,64.9,109,0.309,0.41,0.59,52.4,49.6,9.6,8.7,0.561,18.4,29.7,0.232
3/31/20,2020,3,29,Brigham Young,Liberty,,,1,0.51,31,24,7,0.774,17.13,6.26,14,1,6,5,2498,2137,70,113.8,0.237,0.415,0.607,49.6,58.7,8.3,5.5,0.592,14.1,20.6,0.167,33,29,4,0.879,5.13,-7.16,16,0,7,4,2259,1773,61.3,111.7,0.317,0.401,0.577,53.3,52.8,9,9.4,0.551,13.7,25.2,0.226
4/1/20,2020,3,30,Houston,Indiana,,,1,0.51,30,22,8,0.733,16.42,6.15,13,2,6,6,2177,1869,66.8,108.3,0.329,0.349,0.523,56.6,51,7.6,15.1,0.484,14.8,38.8,0.241,31,19,12,0.613,14.69,10.63,15,4,2,8,2197,2071,68.4,103.2,0.397,0.294,0.525,54,50.3,8.2,12,0.489,15.8,32.7,0.271
4/2/20,2020,3,31,Illinois,Arizona State,,,1,0.51,30,20,10,0.667,15.21,9.65,14,3,6,6,2161,1948,67.7,106,0.333,0.306,0.527,55.5,50.1,7.1,7.3,0.489,15.3,35.9,0.244,31,20,11,0.645,11.41,8.05,13,3,6,5,2288,2184,73.7,100.1,0.324,0.369,0.521,48.5,42.3,10.9,9.4,0.488,15.7,26.5,0.225
4/3/20,2020,3,32,Colorado,Marquette,,,1,0.51,31,21,10,0.677,15.65,8.39,13,3,4,7,2200,1975,68,103.5,0.355,0.387,0.547,54.1,55.3,8.4,7.8,0.508,17,30.4,0.262,30,18,12,0.6,15.4,9.27,13,3,3,8,2333,2149,71.4,107.2,0.392,0.446,0.557,53.2,53.5,7.1,10.6,0.516,16.4,29.8,0.291